KH2012:KH.C2.14	KH2012:KH.S1090.3	KH2012:KH.C10.111	KH2012:KH.L164.21	KH2012:KH.C7.565	KH2012:KH.L119.20	KH2012:KH.L105.1	KH2012:KH.C8.892	KH2012:KH.C1.20	KH2012:KH.C10.457	KH2012:KH.L96.44	KH2012:KH.C10.512	KH2012:KH.C1.215	KH2012:KH.S1555.2	KH2012:KH.C13.14	KH2012:KH.S618.6	KH2012:KH.S1269.1	KH2012:KH.L28.8	KH2012:KH.C2.491	KH2012:KH.L141.43	KH2012:KH.C1.1067	KH2012:KH.L50.5	KH2012:KH.C8.717	KH2012:KH.C1.1254	KH2012:KH.L51.8	KH2012:KH.C7.140	KH2012:KH.C8.585	KH2012:KH.C1.365	KH2012:KH.C10.27	KH2012:KH.L24.10	KH2012:KH.S761.6	KH2012:KH.S1075.1	KH2012:KH.C9.547	KH2012:KH.L105.3	KH2012:KH.C2.252	KH2012:KH.C8.80	KH2012:KH.C2.506	KH2012:KH.C8.762	KH2012:KH.C9.434	KH2012:KH.C4.718	KH2012:KH.C4.394	KH2012:KH.C3.591	KH2012:KH.S1090.4	KH2012:KH.C2.872	KH2012:KH.C13.127	KH2012:KH.L18.65	KH2012:KH.C12.16	KH2012:KH.L116.85	KH2012:KH.C3.282	KH2012:KH.S655.3	KH2012:KH.C4.760	KH2012:KH.L172.15	KH2012:KH.L170.62	KH2012:KH.C6.289	KH2012:KH.C7.4	KH2012:KH.C3.438	KH2012:KH.C6.138	KH2012:KH.C1.118	KH2012:KH.C10.125	KH2012:KH.C5.665	KH2012:KH.L167.5	KH2012:KH.C4.115	KH2012:KH.C5.79	KH2012:KH.C1.396	KH2012:KH.C4.437	KH2012:KH.C1.666	KH2012:KH.C2.776	KH2012:KH.L6.1	KH2012:KH.C9.102	KH2012:KH.C5.596	KH2012:KH.L41.54	KH2012:KH.L108.15	KH2012:KH.C6.226	KH2012:KH.C7.131	KH2012:KH.S511.1	KH2012:KH.C7.173	KH2012:KH.C14.470	KH2012:KH.C12.301	KH2012:KH.C2.457	KH2012:KH.L152.2	KH2012:KH.L141.67	KH2012:KH.C4.649	KH2012:KH.C5.200	KH2012:KH.C1.857	KH2012:KH.C5.481	KH2012:KH.C4.804	KH2012:KH.L170.66	KH2012:KH.C7.51	KH2012:KH.C8.93	KH2012:KH.C10.464	KH2012:KH.L140.10	KH2012:KH.C1.165	KH2012:KH.C2.734	KH2012:KH.C1.515	KH2012:KH.C9.150	KH2012:KH.C2.950	KH2012:KH.L10.1	KH2012:KH.C5.5	KH2012:KH.C1.568	KH2012:KH.C10.448	KH2012:KH.C1.757	KH2012:KH.C9.462	KH2012:KH.L18.22	KH2012:KH.C3.421	KH2012:KH.C3.474	KH2012:KH.C11.690	KH2012:KH.C1.473	KH2012:KH.C3.693	KH2012:KH.L128.2	KH2012:KH.C2.42	KH2012:KH.C3.619	KH2012:KH.C1.866	KH2012:KH.L19.1	KH2012:KH.C14.377	KH2012:KH.C3.149	KH2012:KH.L144.11	KH2012:KH.C8.904	KH2012:KH.L71.18	KH2012:KH.L168.1	KH2012:KH.C9.484	KH2012:KH.S1354.2	KH2012:KH.S852.6	KH2012:KH.C2.561	KH2012:KH.C10.332	KH2012:KH.C1.569	KH2012:KH.C8.50	KH2012:KH.S1366.1	KH2012:KH.C1.21	KH2012:KH.C4.90	KH2012:KH.C7.164	KH2012:KH.C2.127	KH2012:KH.C5.147	KH2012:KH.C4.671	KH2012:KH.C12.687	KH2012:KH.C7.572	KH2012:KH.C3.665	KH2012:KH.C5.616	KH2012:KH.S1313.1	KH2012:KH.C2.637	KH2012:KH.C1.88	KH2012:KH.C6.185	KH2012:KH.C5.558	KH2012:KH.C4.719	KH2012:KH.C14.65	KH2012:KH.C9.340	KH2012:KH.C1.90	KH2012:KH.C1.314	KH2012:KH.C6.149	KH2012:KH.L9.14	KH2012:KH.S695.6	KH2012:KH.C1.498	KH2012:KH.S437.6	KH2012:KH.C1.143	KH2012:KH.C11.2	KH2012:KH.C1.54	KH2012:KH.L24.12	KH2012:KH.C1.985	KH2012:KH.C10.475	KH2012:KH.C7.781	KH2012:KH.C2.33	KH2012:KH.C14.56	KH2012:KH.S1641.1	KH2012:KH.C4.271	KH2012:KH.C4.626	KH2012:KH.C1.238	KH2012:KH.L20.12	KH2012:KH.C2.509	KH2012:KH.L8.11	KH2012:KH.C1.522	KH2012:KH.C1.943	KH2012:KH.S345.1	KH2012:KH.C1.1186	KH2012:KH.L141.7	KH2012:KH.C14.230	KH2012:KH.L96.7	KH2012:KH.C9.478	KH2012:KH.L134.30	KH2012:KH.L71.1	KH2012:KH.C9.771	KH2012:KH.C6.65	KH2012:KH.C4.439	KH2012:KH.C10.602	KH2012:KH.L96.50	KH2012:KH.C3.418	KH2012:KH.C1.388	KH2012:KH.C4.720	KH2012:KH.C9.697	KH2012:KH.C4.230	KH2012:KH.L140.2	KH2012:KH.S164.7	KH2012:KH.C5.522	KH2012:KH.C10.15	KH2012:KH.C7.42	KH2012:KH.C4.422	KH2012:KH.C8.287	KH2012:KH.L87.11	KH2012:KH.C3.178	KH2012:KH.L13.2	KH2012:KH.C6.128	KH2012:KH.C5.348	KH2012:KH.L18.51	KH2012:KH.L168.2	KH2012:KH.C5.45	KH2012:KH.C9.421	KH2012:KH.C2.5	KH2012:KH.C1.94	KH2012:KH.C8.501	KH2012:KH.C5.562	KH2012:KH.C1.1291	KH2012:KH.C13.27	KH2012:KH.C1.553	KH2012:KH.C6.129	KH2012:KH.C11.389	KH2012:KH.L153.79	KH2012:KH.C3.781	KH2012:KH.C7.269	KH2012:KH.C2.957	KH2012:KH.C8.877	KH2012:KH.C5.154	KH2012:KH.L9.13	KH2012:KH.C14.408	KH2012:KH.C12.577	KH2012:KH.S765.1	KH2012:KH.C1.922	KH2012:KH.C1.274	KH2012:KH.C1.777
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	11	12	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	1	0	0	0	0	0	11	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	3	1	1	0	0	0	0	0	0	0
1	26	0	0	0	4	2	5	0	0	4	3	0	0	0	0	3	0	0	0	0	0	0	0	0	39	2	0	0	4	1	0	0	0	0	2	1	0	2	1	1	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	1	0	0	0	5	11	12	2	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	0	0	1	3	0	1	0	2	0	0	0	0	0	0	0	26	0	1	0	1	0	0	0	0	4	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	4	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	18	0	0	0	0	0	0	1	0	2	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19	3	0	0	0	0	0	0	0	0	0
0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	5	1	4	3	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	3	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	29	0	0	0	0	0	2	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	2	0	0	0	0	0	0	0	0
0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	5	5	10	4	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	2	1	0	1	0	9	0	0	0	0	0	0	0	12	0	0	0	1	1	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	5	48	0	4	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	1	0	5	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	12	2	0	0	1	0	0	0	0	0	0
0	16	0	0	0	1	2	1	1	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	5	0	1	0	0	1	2	0	0	3	2	0	11	0	0	1	0	0	1	1	0	0	0	0	0	2	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	0	0	0	1	0	0	9	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	11	18	1	0	0	0	1	0	0	0	0	0	6	2	1	0	0	2	0	0	0	0	0	5	0	1	5	3	0	1	1	0	0	0	0	48	0	2	0	1	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	2	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	9	0	0	3	3	8	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	20	2	0	1	0	0	0	0	0	0	0
0	8	0	0	1	0	1	4	0	0	3	10	1	0	0	0	0	0	0	0	0	3	0	0	5	5	1	0	0	1	0	0	0	1	0	0	0	1	2	0	0	3	1	0	1	0	0	16	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	7	0	0	0	0	0	7	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	15	0	0	1	2	0	1	0	1	0	0	0	4	16	18	1	0	1	0	1	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	3	0	11	0	8	2	0	0	0	0	30	0	0	0	1	1	4	0	0	3	0	0	0	2	0	0	2	1	0	1	0	0	0	1	0	0	9	0	0	0	0	1	5	0	3	0	0	4	2	0	0	0	0	0	0	1	1	0	4	2	7	3	0	1	54	0	2	2	0	1	1	1	1	0	0
0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	6	6	10	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	4	0	0	0	0	0	0	0	60	0	0	0	2	0	4	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	6	0	0	0	3	50	14	4	2	3	0	5	0	1	0	0
0	8	0	0	0	2	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	23	0	0	0	3	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	49	17	0	1	0	0	1	1	1	0	0
0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	9	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	2	0	0	0	0	4	0	0	1	3	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	1	0	2	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	19	0	2	0	0	0	0	0	0	0	0
0	2	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	6	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	6	9	6	0	1	1	0	1	0	3	0	0
0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	6	2	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	23	0	0	0	1	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	60	27	0	2	3	2	1	0	1	0	0
0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	15	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	1	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	6	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	44	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	5	7	5	1	1	3	0	1	0	0	0	0
0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	3	1	2	0	0	3	16	3	4	2	1	0	0	0	0	0	1
2	28	0	0	4	7	15	62	0	0	108	1	0	1	0	1	6	0	0	0	0	3	3	2	12	221	0	0	0	6	0	0	1	1	0	0	0	2	11	5	5	12	0	0	9	0	0	26	0	0	1	1	0	0	3	0	0	0	2	1	0	0	3	0	0	6	1	0	1	1	0	0	0	0	5	0	0	0	4	2	28	0	0	0	0	0	1	4	0	1	0	6	0	0	0	2	0	1	0	0	0	0	2	0	0	0	1	0	0	4	0	0	0	0	2	0	1	0	0	0	25	1	1	0	0	0	9	6	15	0	2	1	2	0	0	0	0	0	3	3	2	0	0	4	0	1	0	0	1	6	0	2	3	13	0	3	4	0	0	2	0	72	0	0	0	6	0	1	0	1	4	0	0	1	0	0	0	0	2	0	5	0	0	0	2	0	1	10	2	0	3	0	1	6	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	8	0	0	1	6	0	3	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	12	0	1	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	4	2	3	4	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	16	0	0	0	0	0	2	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	19	0	1	1	0	0	0	1	1	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	12	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	25	6	1	1	0	1	2	0	3	0	0
0	18	0	0	0	1	1	4	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	21	0	4	0	2	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	13	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	2	9	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	1	1	0	0	0	0	0	0	7	2	0	2	2	0	0	0	0	12	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	5	2	0	2	17	10	0	0	1	0	0	0	0	0	0
